words,sentiment_coeff
sy,18.640702717242867
ikut,10.751109273674242
anak,11.574386030355013
praktikum,18.382011015468027
krn,14.877074839237045
tdk,21.02361479368883
tiap,12.207052256418107
malah,14.588722296244184
jd,16.057230716168654
kalau,23.224061849289537
alasan,9.25165012808582
dikaji,20.86625408039702
lagi,18.14499507890788
covid,11.753079981186392
seperti,21.1680958290892
warga,6.6021284529748065
kampung,12.931183599173458
virus,11.179540660771204
padahal,14.558227387131534
bisa,22.695057754877293
libur,4.09902201457356
banyaknya,19.80361135295408
gatau,12.26620448043377
ngerjain,20.875460044238892
sudah,20.819783390900543
liat,12.906088485445991
kondisi,23.948346156104215
tubuh,11.86507200515277
tapi,15.54404129497309
menunggu,7.734395866207008
sering,8.350630311731699
gmn,8.330681591204891
ketika,15.294624728696192
